DayOfWeek,DepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrDelay
4,1534,1635,1620,1996,121,135,87,29,606,14,20,0,0,0,0,1,0,14,15
5,2130,2244,2215,525,74,75,55,30,337,9,10,0,0,3,0,0,0,26,29
7,1322,1428,1345,1186,66,70,53,47,258,4,9,0,0,0,0,43,0,0,43
6,1625,1823,1707,5792,118,120,98,78,462,4,16,0,0,0,0,0,0,76,76
4,1159,1510,1425,915,191,170,143,24,1045,10,38,0,0,0,0,21,0,24,45
1,1809,1919,1800,2193,70,55,43,64,197,6,21,0,0,0,0,15,0,64,79
7,1724,1820,1752,633,116,127,98,39,594,3,15,0,0,0,0,28,0,0,28
3,1050,1238,1155,4027,48,55,37,50,223,4,7,0,0,28,0,0,0,15,43
6,1524,1656,1619,909,152,154,124,39,888,8,20,0,0,37,0,0,0,0,37
6,1514,1758,1725,1363,164,175,151,44,1073,5,8,0,0,33,0,0,0,0,33
4,1535,1741,1725,1239,186,180,159,10,984,10,17,0,0,0,0,6,0,10,16
3,1400,1648,1548,3912,108,108,78,60,599,5,25,0,0,0,0,60,0,0,60
6,2153,2259,2243,344,66,58,39,8,224,8,19,0,0,8,0,8,0,0,16
7,1458,1619,1550,247,81,80,60,28,353,4,17,0,0,0,0,1,0,28,29
6,1228,1659,1630,2300,151,140,125,18,987,4,22,0,0,18,0,11,0,0,29
2,1541,1834,1605,5887,233,156,138,72,738,6,89,0,0,0,0,149,0,0,149
6,1632,2235,2159,46,243,239,220,32,1979,4,19,0,0,32,0,4,0,0,36
4,2135,2226,2155,2701,51,50,40,30,189,4,7,0,0,22,0,1,0,8,31
4,1627,1745,1727,4384,78,77,50,17,306,3,25,0,0,17,0,1,0,0,18
5,2222,124,2356,828,122,131,106,97,867,3,13,0,0,0,0,0,0,88,88
6,759,1129,1110,3047,150,145,131,14,957,8,11,0,0,0,0,19,0,0,19
3,2027,2231,2155,2822,124,125,104,37,671,6,14,0,0,1,0,0,0,35,36
2,2204,2340,2212,1009,276,302,254,114,1916,5,17,0,0,8,0,0,0,80,88
7,2328,205,2252,288,97,98,68,194,589,2,27,0,0,0,0,0,0,193,193
1,1746,1906,1845,1208,80,85,55,26,334,7,18,0,0,0,0,18,0,3,21
6,1047,1347,1326,294,120,124,96,25,770,9,15,0,0,8,0,13,0,0,21
1,1009,1127,1037,203,78,99,63,71,334,2,13,0,0,38,0,0,0,12,50
2,1028,1150,935,3442,82,70,54,123,281,14,14,0,0,123,0,12,0,0,135
2,926,1026,1010,3760,60,70,46,26,247,7,7,0,0,0,0,0,0,16,16
3,2208,2328,2140,889,80,70,65,98,337,5,10,0,0,0,0,10,0,98,108
5,1430,1521,1455,32,51,55,39,30,239,2,10,0,0,7,0,0,0,19,26
5,1308,1528,1500,387,80,80,69,28,484,5,6,0,0,0,0,0,0,28,28
3,1414,1448,1402,523,94,98,82,50,495,3,9,0,0,0,0,0,0,46,46
7,1751,2052,1944,6449,241,204,209,31,1249,5,27,0,0,68,0,0,0,0,68
5,1329,1700,1602,438,211,172,173,19,1121,6,32,0,0,0,0,54,0,4,58
4,2016,2229,2139,527,133,164,113,81,761,7,13,0,0,0,0,0,0,50,50
5,1011,1133,1107,194,82,77,62,21,338,6,14,0,0,21,0,5,0,0,26
2,1836,1944,1910,2379,68,75,57,41,361,4,7,0,0,34,0,0,0,0,34
2,835,937,913,195,242,238,212,20,1587,5,25,0,0,0,0,4,20,0,24
7,2107,2300,2235,2970,113,115,95,27,602,3,15,0,0,7,0,0,0,18,25
6,1033,1406,1350,1601,153,155,123,18,1062,4,26,0,0,0,0,3,0,13,16
2,1416,2250,2151,416,334,356,302,81,2586,16,16,0,0,0,0,0,0,59,59
1,1831,2122,1954,645,291,264,251,61,1726,5,35,0,0,51,0,27,0,10,88
5,1157,1353,1217,4228,116,131,101,111,793,3,12,0,0,92,0,0,0,4,96
7,1124,1441,1100,977,137,150,119,234,948,6,12,0,0,221,0,0,0,0,221
7,1312,2114,2046,862,302,296,277,22,2288,8,17,0,0,22,0,6,0,0,28
1,624,940,910,768,136,130,106,24,836,7,23,0,0,24,0,6,0,0,30
1,1341,1431,1412,5525,50,47,21,16,86,3,26,0,0,19,0,0,0,0,19
4,1415,1550,1515,3869,95,90,80,30,461,5,10,0,0,14,0,5,0,16,35
7,1445,1627,1612,366,102,102,87,15,543,5,10,0,0,3,0,0,0,12,15
5,1127,1725,1659,442,238,248,218,36,1723,5,15,0,0,0,0,1,0,25,26
7,1732,1938,1914,1287,306,309,282,27,2172,4,20,0,0,24,0,0,0,0,24
1,1815,1925,1726,4623,70,86,57,135,403,4,9,0,0,119,0,0,0,0,119
6,2024,2251,2220,1376,87,90,74,34,580,3,10,0,0,9,0,0,0,22,31
2,938,1134,1042,789,296,277,259,33,1900,6,31,0,0,22,0,19,0,11,52
3,1239,1445,1418,667,246,243,230,24,1589,5,11,0,0,1,0,3,0,23,27
7,2205,2304,2245,3535,59,65,41,25,304,4,14,0,0,0,0,0,0,19,19
4,1808,1933,1915,1189,145,150,125,23,836,5,15,0,0,18,0,0,0,0,18
3,816,950,930,448,214,205,194,11,1390,9,11,0,0,0,0,9,0,11,20
3,1629,2045,2028,124,196,213,182,34,1533,5,9,0,0,0,0,0,0,17,17
1,725,934,842,1711,129,132,110,55,749,12,7,0,0,52,0,0,0,0,52
7,2022,2253,2235,1754,151,190,141,57,1093,2,8,0,0,5,0,0,0,13,18
4,1500,1601,1540,425,121,140,104,40,647,6,11,0,0,18,0,0,0,3,21
3,1625,1639,1615,59,74,65,60,15,284,6,8,0,0,3,0,9,0,12,24
2,1920,2112,2040,4860,112,125,85,45,530,5,22,0,0,1,0,0,0,31,32
5,1741,2004,1916,1565,143,141,116,46,758,7,20,0,0,46,0,2,0,0,48
1,2218,2307,2231,3806,49,60,35,47,217,4,10,0,0,36,0,0,0,0,36
6,2328,146,2351,314,78,86,55,123,412,8,15,0,0,26,0,0,0,89,115
5,2121,2232,2035,1202,71,60,47,106,190,7,17,0,0,2,0,11,0,104,117
4,1405,1715,1615,309,190,150,145,20,901,9,36,0,0,0,0,60,0,0,60
5,1301,1642,1625,348,161,150,130,6,1017,13,18,0,0,5,0,11,0,1,17
5,1651,2022,2001,4604,151,136,114,6,821,15,22,0,0,2,0,15,0,4,21
4,2002,2151,2130,2734,229,230,214,22,1521,3,12,0,0,20,0,0,0,1,21
1,2215,51,2359,588,156,169,134,65,1090,6,16,0,0,26,0,0,0,26,52
3,1053,1313,1114,1533,200,188,180,107,1144,6,14,0,0,107,0,12,0,0,119
5,1554,2013,1750,312,199,210,172,154,1302,13,14,0,0,0,0,143,0,0,143
7,1925,2047,1955,3358,82,75,52,45,304,20,10,0,0,3,0,7,0,42,52
2,1732,1926,1853,4186,114,118,92,37,508,9,13,0,0,33,0,0,0,0,33
4,1819,2007,1910,1967,108,115,99,64,647,4,5,0,0,0,0,0,0,57,57
4,1829,1937,1845,15,68,65,53,49,281,3,12,0,0,2,0,3,0,47,52
2,1031,1229,1145,4469,58,60,38,46,224,3,17,0,0,44,0,0,0,0,44
2,659,1010,930,4834,251,220,200,9,1147,3,48,0,0,9,0,31,0,0,40
2,1746,1937,1822,6024,51,57,29,81,157,5,17,0,0,0,0,0,0,75,75
1,1337,1509,1450,1108,92,91,63,18,416,4,25,0,0,18,0,1,0,0,19
2,235,642,620,154,187,195,156,30,1449,10,21,0,0,0,0,0,0,22,22
7,2021,2202,2130,4617,101,75,62,6,187,7,32,0,0,0,0,32,0,0,32
2,2141,5,2316,515,264,272,245,57,1781,5,14,0,0,18,0,0,0,31,49
4,1524,1602,1547,336,38,37,22,14,100,6,10,0,0,6,0,0,0,9,15
1,1353,1452,1424,6579,59,47,24,16,125,4,31,0,0,0,0,0,0,28,28
2,1153,1243,1220,4061,50,50,32,23,174,3,15,0,0,0,0,0,0,23,23
3,1442,1611,1510,3169,89,95,67,67,372,6,16,0,0,0,0,0,0,61,61
1,1715,1940,1925,821,145,155,117,25,745,10,18,0,0,0,0,0,0,15,15
7,809,1122,1050,6344,133,112,78,11,599,7,48,0,0,32,0,0,0,0,32
5,1918,2135,1920,2057,137,70,47,68,283,4,86,0,0,0,22,67,0,46,135
4,809,1139,1110,803,390,370,370,9,2534,4,16,0,0,0,0,20,0,9,29
1,1536,1730,1647,4511,114,118,95,47,644,5,14,0,0,0,0,0,0,43,43
3,1949,2131,1918,253,162,157,130,128,888,9,23,0,0,128,0,5,0,0,133
2,1152,1400,1255,3935,128,130,109,67,779,4,15,0,0,0,6,0,0,59,65
3,1338,1440,1351,3235,62,61,39,48,140,4,19,0,0,0,44,1,0,4,49
4,1505,1656,1530,1954,111,80,65,55,337,4,42,0,0,0,0,79,0,7,86
7,1708,1809,1740,553,61,70,50,38,258,3,8,0,0,3,0,0,0,26,29
5,2218,2320,2228,1712,62,73,46,63,298,2,14,0,0,52,0,0,0,0,52
4,2044,2213,2145,1935,89,75,72,14,342,4,13,0,0,0,0,14,0,14,28
5,2059,2313,2155,4731,134,169,112,113,745,5,17,0,0,0,0,78,0,0,78
5,1012,1339,1250,668,147,146,115,48,967,7,25,0,0,31,0,4,0,14,49
1,1527,1706,1630,4419,159,160,125,37,738,9,25,0,0,5,0,0,0,31,36
6,1410,1555,1539,1455,105,114,88,25,602,7,10,0,0,4,0,0,0,12,16
7,1707,1821,1705,298,74,70,48,72,326,7,19,0,0,0,0,4,0,72,76
1,2014,2107,1858,5583,53,53,35,129,109,4,14,0,0,0,0,0,0,129,129
3,751,953,925,3801,122,130,91,36,712,17,14,0,0,28,0,0,0,0,28
4,1133,1243,1155,3953,70,90,62,68,447,3,5,0,0,2,0,0,0,46,48
7,1203,1800,1739,322,237,226,191,10,1515,7,39,0,0,10,0,11,0,0,21
1,1102,1221,1138,4195,79,88,51,52,303,11,17,0,0,4,39,0,0,0,43
5,1918,2016,1910,4095,58,45,18,53,67,24,16,0,0,0,0,13,0,53,66
5,2102,2338,2250,4088,96,105,69,57,594,10,17,0,0,48,0,0,0,0,48
4,2149,2341,2255,3955,112,100,91,34,491,6,15,0,0,0,0,16,0,30,46
4,629,749,725,4413,140,145,122,29,738,11,7,0,0,24,0,0,0,0,24
4,2329,44,2252,685,135,145,116,122,874,4,15,0,0,0,17,0,0,95,112
7,1946,2141,2050,3436,115,110,95,46,604,9,11,0,0,0,0,5,0,46,51
6,2050,201,1930,133,491,395,354,295,2475,9,128,0,0,235,60,96,0,0,391
6,1741,2008,1950,393,147,160,133,31,1054,3,11,0,0,18,0,0,0,0,18
7,911,1012,830,5405,61,46,30,87,109,10,21,0,0,0,0,102,0,0,102
4,933,1043,1016,862,130,111,96,8,602,8,26,0,0,0,0,19,0,8,27
7,1703,1909,1845,677,246,240,224,18,1616,3,19,0,0,18,0,6,0,0,24
6,1308,1422,1330,2450,74,85,54,63,337,7,13,0,0,0,0,2,0,50,52
1,934,1049,1005,5772,75,65,47,34,173,8,20,0,0,44,0,0,0,0,44
4,1536,1732,1641,1199,116,116,76,51,529,5,35,0,0,0,0,0,0,51,51
4,1756,2003,1945,577,247,266,226,37,1781,3,18,0,0,0,8,0,0,10,18
1,1552,2058,1907,660,186,208,162,133,1452,9,15,0,0,0,0,111,0,0,111
7,1349,1659,1600,2296,130,115,87,44,678,8,35,0,0,44,0,15,0,0,59
1,1212,1436,1400,2656,84,70,59,22,331,6,19,0,0,36,0,0,0,0,36
6,1726,1922,1905,659,236,234,205,15,1337,20,11,0,0,15,0,2,0,0,17
1,1056,1506,1435,712,190,210,175,51,1389,3,12,0,0,0,0,31,0,0,31
6,1444,1554,1515,2681,70,70,55,39,303,3,12,0,0,0,0,0,0,39,39
5,1529,2001,1725,1229,212,155,143,99,989,8,61,0,0,0,0,156,0,0,156
1,1822,1924,1905,574,122,110,111,7,628,3,8,0,0,0,0,12,0,7,19
1,1532,1834,1715,1760,122,100,74,57,551,15,33,0,0,0,25,22,0,32,79
1,1448,1747,1652,1114,119,130,101,66,783,7,11,0,0,0,0,0,0,55,55
5,1400,1708,1505,4453,248,165,130,40,783,7,111,0,0,0,14,83,0,26,123
6,1959,2059,2010,2273,60,70,47,59,258,4,9,0,0,3,0,0,0,46,49
4,1244,1356,1340,3571,72,70,59,14,303,7,6,0,0,6,0,2,0,8,16
1,2249,625,559,1485,276,284,267,34,2254,8,1,0,0,11,0,0,0,15,26
3,1954,2121,2047,3031,87,87,64,34,267,6,17,0,0,34,0,0,0,0,34
1,1645,2203,2040,388,198,180,139,65,1231,46,13,0,0,0,65,18,0,0,83
2,1344,1429,1245,3839,105,95,79,94,546,5,21,0,0,33,0,10,0,61,104
3,2122,2244,2214,278,82,89,65,37,414,8,9,0,0,2,0,0,0,28,30
4,1100,1212,1140,2986,72,75,57,35,345,7,8,0,0,0,0,0,0,32,32
6,1307,1527,1441,4870,80,91,62,57,453,8,10,0,0,46,0,0,0,0,46
5,2010,2252,2210,212,162,170,143,50,992,3,16,0,0,42,0,0,0,0,42
7,727,1000,920,1352,93,110,74,57,592,5,14,0,0,40,0,0,0,0,40
3,1954,2045,2020,534,111,105,92,19,533,8,11,0,0,3,0,6,0,16,25
6,715,825,755,6799,70,60,36,20,135,9,25,0,0,0,0,0,0,30,30
3,1120,1249,1230,8,89,100,79,30,544,4,6,0,0,0,0,0,0,19,19
4,1827,2043,1942,1082,136,119,95,44,595,15,26,0,0,0,0,61,0,0,61
3,1824,2026,1839,1497,242,229,211,94,1440,8,23,0,0,22,0,13,0,72,107
1,835,1021,1001,989,106,121,90,35,631,2,14,0,0,20,0,0,0,0,20
3,1229,1541,1525,1862,132,140,120,24,972,6,6,0,0,5,0,0,0,11,16
4,1510,1647,1630,731,97,95,70,15,460,6,21,0,0,15,0,2,0,0,17
2,2335,15,2329,4671,40,49,27,55,143,3,10,0,0,46,0,0,0,0,46
7,2226,151,2359,6448,145,154,127,121,1048,4,14,0,0,0,0,0,0,112,112
3,1638,1940,1916,4635,122,106,80,8,563,8,34,0,0,3,0,16,5,0,24
7,1909,2001,1855,1534,52,55,30,69,130,6,16,0,0,19,0,0,0,47,66
5,2017,2317,2245,1887,180,170,152,22,1053,9,19,0,0,1,0,10,0,21,32
7,2150,2349,2247,1678,239,217,221,40,1449,8,10,0,0,0,0,22,0,40,62
4,1634,1940,1840,468,126,105,72,39,551,47,7,0,0,0,0,21,0,39,60
3,1636,1721,1600,2436,45,55,34,91,192,3,8,0,0,12,0,0,0,69,81
4,1437,1754,1650,770,137,145,107,72,967,15,15,0,0,64,0,0,0,0,64
6,1625,1953,1925,674,148,155,124,35,1024,5,19,0,0,28,0,0,0,0,28
3,1837,1930,1900,2620,53,60,43,37,255,3,7,0,0,0,0,0,0,30,30
4,1118,1710,1636,1546,232,221,205,23,1709,6,21,0,0,16,0,11,0,7,34
7,1634,1902,1715,1248,148,130,114,89,728,6,28,0,0,0,0,107,0,0,107
4,2122,2257,1900,6137,95,64,62,206,192,13,20,0,0,0,0,237,0,0,237
4,1826,2204,2135,2094,158,155,131,26,1017,5,22,0,0,26,0,3,0,0,29
1,2015,2222,2145,39,67,70,53,40,338,5,9,0,0,1,0,0,0,36,37
6,1154,1331,1254,835,277,264,234,24,1747,7,36,0,0,0,0,37,0,0,37
4,1746,1913,1855,324,87,85,72,16,446,6,9,0,0,0,0,2,0,16,18
1,1900,2046,1905,4657,106,100,68,95,416,7,31,0,0,0,0,10,0,91,101
6,2047,2225,2207,470,98,107,71,27,547,5,22,0,0,18,0,0,0,0,18
7,2109,2228,2045,1369,79,75,56,99,337,8,15,0,0,0,0,4,0,99,103
4,2254,107,2336,1275,313,321,296,99,2182,8,9,0,0,0,0,0,0,91,91
3,2047,7,2305,3645,140,155,123,77,1068,5,12,0,0,62,0,0,0,0,62
6,1446,2010,1900,1144,204,210,183,76,1464,8,13,0,0,0,70,0,0,0,70
3,1735,1825,1713,4598,110,126,95,88,669,4,11,0,0,72,0,0,0,0,72
5,2333,106,2340,2551,93,90,73,83,507,3,17,0,0,8,0,3,0,75,86
5,1406,1622,1550,1482,136,135,119,31,814,4,13,0,0,0,0,1,0,31,32
5,1539,1628,1525,1577,49,55,40,69,223,3,6,0,0,2,0,0,0,61,63
2,1018,1147,1110,4796,89,80,41,28,214,2,46,0,0,11,0,9,0,17,37
7,1817,2058,2033,4683,161,178,140,42,795,13,8,0,0,25,0,0,0,0,25
1,2140,35,2026,29,295,291,248,245,1721,5,42,0,0,0,0,4,0,245,249
6,1514,1910,1840,1240,176,195,153,49,1197,8,15,0,0,15,0,0,0,15,30
6,1125,1313,1225,2712,48,55,33,55,211,5,10,0,0,48,0,0,0,0,48
6,1812,2027,1930,4362,75,80,52,62,235,8,15,0,0,0,0,9,0,48,57
2,1705,1909,1835,1057,124,100,102,10,460,6,16,0,0,0,0,27,0,7,34
6,753,1057,1025,707,244,225,202,13,1389,26,16,0,0,13,0,19,0,0,32
1,946,1116,1101,1440,90,86,48,11,331,3,39,0,0,0,0,4,0,11,15
1,1708,137,42,14,329,332,295,58,2586,8,26,0,0,55,0,0,0,0,55
2,1826,2006,1920,897,160,160,142,46,984,6,12,0,0,0,45,0,0,1,46
1,1930,2119,2045,4861,109,105,72,30,501,5,32,0,0,0,8,4,0,22,34
2,1222,1307,1230,5869,45,56,26,48,130,8,11,0,0,37,0,0,0,0,37
4,1000,1157,1133,4683,117,105,89,12,508,13,15,0,0,12,0,12,0,0,24
4,2203,2327,2014,1172,84,81,64,190,337,4,16,0,0,25,0,3,0,165,193
5,1921,2010,1915,4364,109,120,79,66,501,15,15,0,0,0,0,0,0,55,55
2,1559,1822,1740,1245,143,125,108,24,603,23,12,0,0,0,0,42,0,0,42
2,1540,1919,1800,510,219,155,164,15,925,7,48,0,0,0,0,64,0,15,79
4,1330,1543,1504,514,133,144,108,50,761,13,12,0,0,0,0,39,0,0,39
7,2250,26,2356,463,96,82,53,16,334,5,38,0,0,16,0,14,0,0,30
7,2018,2126,2015,130,68,91,54,94,403,4,10,0,0,0,0,0,0,71,71
5,839,1005,947,403,146,152,120,24,862,8,18,0,0,14,0,4,0,0,18
6,1657,2022,1916,1011,145,151,126,72,1005,4,15,0,0,17,0,0,0,49,66
1,1226,1814,1725,866,228,220,211,41,1671,4,13,0,0,41,0,8,0,0,49
6,2102,2332,2259,580,90,104,74,47,612,3,13,0,0,16,0,17,0,0,33
1,1502,1643,1617,1217,161,157,146,22,948,5,10,0,0,0,22,4,0,0,26
4,1800,1944,1734,6397,104,80,91,106,363,4,9,0,0,0,0,130,0,0,130
7,1755,2029,2000,1136,154,145,132,20,920,3,19,0,0,18,0,9,0,2,29
4,1214,1442,1357,4296,88,72,50,29,302,16,22,0,0,29,0,16,0,0,45
1,927,1823,1620,160,356,325,331,92,2446,12,13,0,0,92,0,31,0,0,123
3,2005,2229,1930,1747,84,75,61,170,256,6,17,0,0,10,0,9,0,160,179
7,1124,1321,1240,1469,177,150,134,14,862,7,36,0,0,0,0,27,0,14,41
4,2208,2307,2225,1533,59,65,52,48,333,2,5,0,0,0,0,0,0,42,42
7,2048,2256,2229,4715,128,134,97,33,714,3,28,0,0,0,0,0,0,27,27
6,1208,1506,1354,1614,118,124,96,78,732,10,12,0,0,4,0,0,0,68,72
3,1328,1714,1650,2312,166,155,148,13,988,9,9,0,0,0,0,11,0,13,24
4,1900,2114,1831,789,134,91,104,120,334,6,24,0,0,0,0,163,0,0,163
5,2243,2331,2215,2903,48,55,37,83,197,3,8,0,0,0,0,0,0,76,76
5,1524,1632,1529,4755,128,129,105,64,674,4,19,0,0,0,0,0,0,63,63
4,2002,2308,2220,1521,246,230,197,32,1437,6,43,0,0,32,0,16,0,0,48
6,1915,2040,2015,1513,145,150,121,30,874,6,18,0,0,0,0,0,0,25,25
3,2010,2146,2045,1085,96,95,76,60,551,5,15,0,0,60,0,1,0,0,61
5,1554,1749,1605,4177,55,50,29,99,137,3,23,0,0,83,0,5,0,16,104
1,1904,2131,2110,1667,147,145,130,19,828,7,10,0,0,19,0,2,0,0,21
2,1825,2007,1930,227,162,150,141,25,910,5,16,0,0,13,0,24,0,0,37
7,1247,1354,1335,3407,67,65,45,17,282,4,18,0,0,2,0,2,0,15,19
1,1918,2146,2035,1561,148,155,111,78,745,10,27,0,0,23,0,0,0,48,71
7,1158,1446,1416,6110,168,155,125,17,954,26,17,0,0,30,0,0,0,0,30
4,2117,2355,2255,1485,98,105,84,67,590,4,10,0,0,0,0,1,0,59,60
3,1139,1252,1140,161,73,75,56,74,349,5,12,0,0,0,0,0,0,72,72
6,739,912,850,1251,93,110,75,39,430,8,10,0,0,22,0,0,0,0,22
1,2010,2101,2045,484,51,50,33,15,116,5,13,0,0,7,0,1,0,8,16
1,1932,2134,2114,1599,122,122,104,20,651,7,11,0,0,0,0,0,0,20,20
3,613,1131,1044,713,258,224,223,13,1597,14,21,0,0,0,0,34,13,0,47
1,2018,2155,2026,1452,97,106,83,98,634,3,11,0,0,0,0,0,0,89,89
5,1005,1110,1005,1241,125,120,103,60,641,7,15,0,0,60,0,5,0,0,65
6,1812,1904,1720,3755,52,55,31,107,190,4,17,0,0,51,0,0,0,53,104
1,1136,1440,1410,1154,124,130,98,36,833,5,21,0,0,6,0,0,0,24,30
5,1634,1810,1735,2640,36,40,25,39,120,3,8,0,0,35,0,0,0,0,35
1,1712,1850,1722,4433,98,112,79,102,508,10,9,0,0,0,0,0,0,88,88
5,1807,1919,1800,3833,72,80,58,87,370,6,8,0,0,0,0,0,0,79,79
5,1754,2030,1722,744,156,177,127,209,938,7,22,0,0,49,0,139,0,0,188
3,1339,1421,1400,3407,42,45,29,24,148,4,9,0,0,21,0,0,0,0,21
5,1612,1914,1735,544,182,185,150,102,1024,9,23,0,0,0,0,92,0,7,99
2,1235,1346,1313,1439,131,132,119,34,819,2,10,0,0,33,0,0,0,0,33
1,2042,2238,2205,1078,176,170,144,27,1068,9,23,0,0,27,0,6,0,0,33
4,1356,1528,1502,1590,92,102,71,36,414,7,14,0,0,0,0,0,0,26,26
1,1111,1223,1206,4430,72,86,50,31,377,2,20,0,0,17,0,0,0,0,17
6,1742,1852,1800,4260,70,88,54,70,303,7,9,0,0,0,0,0,0,52,52
7,1202,1331,1230,4201,149,150,128,62,821,5,16,0,0,61,0,0,0,0,61
5,1016,1415,1355,274,179,170,143,11,1009,7,29,0,0,0,0,9,0,11,20
5,1116,1319,1140,2523,183,90,90,6,431,6,87,0,0,99,0,0,0,0,99
7,1645,1830,1759,1709,105,99,76,25,468,6,23,0,0,0,0,6,0,25,31
1,1059,1249,1226,1464,110,146,92,59,665,9,9,0,0,0,0,0,0,23,23
4,1344,1506,1444,1293,82,94,62,34,451,3,17,0,0,0,0,22,0,0,22
1,1747,1930,1800,521,223,225,204,92,1593,3,16,0,0,8,0,0,0,82,90
3,1656,1801,1730,701,65,65,56,31,296,2,7,0,0,0,0,0,0,31,31
7,1756,1854,1835,3392,58,60,44,21,282,7,7,0,0,5,0,0,0,14,19
4,1510,1739,1702,4749,149,121,87,9,640,3,59,0,0,0,0,28,0,9,37
7,1213,1346,1327,657,153,152,137,18,967,7,9,0,0,18,0,1,0,0,19
2,1439,1642,1531,6615,123,121,104,69,624,4,15,0,0,0,0,0,0,71,71
1,1118,1235,1145,4394,77,76,52,49,321,5,20,0,0,49,0,1,0,0,50
6,1653,1735,1710,2629,42,35,19,18,74,5,18,0,0,18,0,7,0,0,25
4,1716,1751,1735,101,95,95,82,16,448,4,9,0,0,5,0,0,0,11,16
2,2216,322,2243,1085,306,228,176,201,1090,8,122,0,0,0,201,78,0,0,279
4,1534,1828,1513,1228,174,128,112,149,631,4,58,0,0,0,55,46,0,94,195
