administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
1,20.0,0,0.0,21,442.0,0.008695652,0.020289855,42.28127491,0.0,7,2,2,1,13,2,0,0
3,138.0,2,1005.0,62,2450.435809,0.003125,0.012783365,0.0,0.0,6,2,2,4,4,2,1,0
1,0.0,0,0.0,50,1009.430952,0.006,0.017238095,4.803305732,0.0,7,1,1,1,10,2,1,1
0,0.0,0,0.0,3,255.0,0.0,0.066666667,0.0,0.0,7,2,5,8,3,2,1,0
0,0.0,0,0.0,6,110.0,0.011111111,0.058333333,0.0,0.0,6,2,2,4,2,2,0,0
0,0.0,0,0.0,3,27.2,0.133333333,0.133333333,0.0,0.0,8,3,2,4,1,2,0,0
3,58.33333333,0,0.0,9,229.6666667,0.033333333,0.041666667,0.0,0.0,6,1,8,3,1,2,1,0
0,0.0,1,125.0,12,332.0,0.0,0.023076923,0.0,0.0,6,2,2,4,4,2,0,0
0,0.0,0,0.0,31,835.2380952,0.0,0.009811828,0.0,0.0,1,2,2,1,10,2,0,0
8,167.9107143,6,547.75,111,6340.152381,0.003361345,0.009431773,44.21979406,0.0,1,3,2,6,2,2,0,0
2,36.75,2,9.0,20,393.5833333,0.008333333,0.033872603,0.0,0.0,7,1,1,3,6,2,0,0
7,340.6111111,2,129.0,57,4516.588312,0.005,0.015180847,8.052616667,0.0,6,2,2,1,2,2,0,0
4,28.73333333,0,0.0,12,243.75,0.0,0.038571429,8.150811238,0.0,4,3,2,4,2,2,1,1
0,0.0,0,0.0,5,0.0,0.2,0.2,0.0,0.0,3,3,2,2,13,2,1,0
8,822.6666667,3,225.3333333,45,1896.966667,0.011764706,0.02745098,7.521155028,0.0,1,1,1,3,1,2,0,0
0,0.0,0,0.0,10,724.0,0.0,0.022222222,97.98,0.0,6,1,1,4,2,0,1,1
5,74.75,0,0.0,14,512.5,0.0,0.023529412,0.0,0.0,1,2,7,7,8,0,1,0
3,67.0,0,0.0,5,141.2,0.0,0.008333333,0.0,0.0,8,3,2,7,1,0,0,0
0,0.0,0,0.0,12,304.75,0.0,0.025,0.0,0.8,6,1,2,3,4,2,0,0
1,29.2,0,0.0,0,0.0,0.0,0.066666667,0.0,0.0,7,1,1,4,2,2,1,1
6,57.5,0,0.0,66,1285.548533,0.004109589,0.018513906,20.97239726,0.0,6,2,2,1,6,2,0,1
0,0.0,0,0.0,6,134.0,0.066666667,0.094444444,0.0,0.0,6,1,1,1,3,2,0,0
0,0.0,0,0.0,16,280.5,0.0,0.0125,0.0,0.0,6,4,1,1,3,2,0,0
4,106.0,0,0.0,6,180.4166667,0.0,0.025,0.0,0.0,7,3,6,3,2,0,0,0
6,71.5,1,37.0,15,287.2916667,0.0,0.001234568,0.0,0.0,6,1,1,3,2,2,0,0
0,0.0,0,0.0,6,185.0,0.0,0.1,0.0,0.0,5,1,1,1,10,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,1,1,1,1,2,1,0
0,0.0,1,100.0,19,1645.679762,0.002222222,0.02962963,0.0,0.0,1,2,5,6,1,2,0,0
0,0.0,0,0.0,4,214.3333333,0.0,0.05,0.0,0.0,7,1,1,9,3,2,0,0
6,360.9166667,4,114.2,17,806.65,0.01,0.015,0.0,0.0,4,2,10,3,5,0,1,0
2,102.5,3,60.0,22,1034.975,0.0,0.014,16.14384,0.0,5,1,1,4,2,2,0,1
3,61.0,0,0.0,79,2819.966667,0.006097561,0.024390244,0.0,0.0,6,2,2,1,13,2,0,0
3,66.33333333,0,0.0,12,368.68,0.04,0.084444444,21.24191985,0.0,7,2,2,1,2,2,0,1
6,101.625,0,0.0,140,7097.582291,0.003448276,0.009952433,21.88856759,0.0,7,2,2,3,13,2,0,1
1,3.0,0,0.0,11,549.3333333,0.0,0.005,0.0,0.0,6,4,2,1,3,2,0,0
0,0.0,0,0.0,10,80.5,0.083333333,0.092222222,0.0,0.0,1,2,2,1,3,2,0,0
1,4.0,1,12.0,16,1012.964286,0.011764706,0.023529412,0.0,0.0,1,2,2,7,10,2,0,0
9,188.5322344,3,197.4166667,76,1758.912393,0.004901961,0.016913178,22.86584543,0.0,1,3,2,2,6,2,0,0
4,140.475,1,0.0,48,1252.561414,0.014038462,0.024738632,0.0,0.0,7,3,2,1,2,2,1,0
0,0.0,0,0.0,13,436.0,0.030769231,0.079487179,0.0,0.6,6,1,1,4,2,2,0,0
0,0.0,0,0.0,40,2426.266667,0.004878049,0.02296748,0.0,0.0,7,2,2,2,11,2,0,0
0,0.0,0,0.0,19,465.6333333,0.0,0.026315789,0.0,0.0,7,1,1,1,2,0,1,0
0,0.0,0,0.0,50,1369.75,0.020408163,0.043307169,3.241653061,0.6,6,2,2,1,2,2,0,0
1,32.0,0,0.0,50,2867.0,0.0,0.004,153.4432478,0.0,5,2,2,7,8,2,1,1
4,364.3333333,2,19.0,85,3642.066026,0.007777778,0.029549858,5.052145956,0.0,7,2,2,1,1,2,0,0
0,0.0,0,0.0,12,136.5,0.016666667,0.033333333,0.0,0.0,6,2,2,3,3,2,0,0
6,113.0,0,0.0,18,359.4,0.008333333,0.05,0.0,0.0,9,2,2,3,1,2,0,0
2,128.5,0,0.0,7,209.0,0.027777778,0.053439153,0.0,0.0,7,3,2,3,2,2,0,0
1,412.0,0,0.0,54,2377.0,0.0,0.005090909,0.0,0.0,5,2,2,9,10,2,0,0
0,0.0,0,0.0,3,61.75,0.0,0.066666667,0.0,0.0,7,2,10,1,3,2,0,0
0,0.0,0,0.0,8,316.1333333,0.0,0.05,0.0,0.0,4,2,2,3,13,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,6,3,2,9,3,2,0,0
0,0.0,0,0.0,53,5504.695238,0.011538462,0.031446886,12.32661404,0.0,7,2,2,1,1,2,0,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,4,11,2,0,0
0,0.0,0,0.0,3,57.0,0.0,0.066666667,0.0,0.2,6,2,5,1,2,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,6,1,1,4,3,2,0,0
0,0.0,0,0.0,14,263.175,0.0,0.021428571,0.0,0.0,7,5,11,1,8,2,0,0
0,0.0,3,33.75,9,313.9285714,0.033333333,0.027777778,0.0,0.0,1,3,2,2,10,2,0,0
0,0.0,0,0.0,6,158.1666667,0.0,0.033333333,0.0,0.0,2,3,2,4,2,2,0,0
0,0.0,0,0.0,2,31.2,0.0,0.1,0.0,0.0,0,3,2,1,3,2,0,0
0,0.0,0,0.0,15,1069.7,0.0,0.046666667,0.0,0.0,3,3,2,6,1,2,0,0
0,0.0,0,0.0,16,355.5,0.0,0.014285714,11.13171429,0.0,6,3,2,1,3,0,0,1
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,2,3,2,0,0
0,0.0,0,0.0,1,27.2,0.0,0.0,58.37208988,0.0,7,2,2,4,20,2,0,1
0,0.0,0,0.0,10,345.25,0.02,0.04,0.0,0.0,6,2,4,3,3,2,0,0
4,302.5,0,0.0,15,257.1666667,0.05,0.04875,0.0,0.0,1,3,2,7,3,2,0,0
5,97.0,0,0.0,53,3372.748214,0.003773585,0.002515723,0.0,0.0,1,2,2,7,2,2,0,0
3,77.0,5,243.0,127,2573.875,0.00025641,0.009196581,0.0,0.0,6,2,2,4,3,2,0,0
0,0.0,0,0.0,14,561.6666667,0.0,0.025,0.0,0.0,1,2,2,9,10,2,0,0
9,320.2708333,2,298.3333333,51,1788.370821,0.016969697,0.014709835,8.21617792,0.0,7,3,2,3,2,2,1,1
12,672.0952381,2,86.0,23,237.0952381,0.0,0.010344828,0.0,0.0,6,1,1,2,6,2,0,0
0,0.0,0,0.0,21,173.0,0.00952381,0.023809524,0.0,0.0,1,1,2,3,3,2,0,0
0,0.0,0,0.0,68,746.8,0.002941176,0.011470588,0.0,0.0,6,2,2,1,13,2,0,0
1,4.0,3,148.5,5,185.8333333,0.0,0.01875,0.0,0.0,5,2,2,7,2,2,0,0
5,96.625,0,0.0,27,1883.725,0.0,0.019047619,0.0,0.0,7,2,2,9,13,2,0,0
3,75.6,0,0.0,14,178.59,0.0125,0.00625,0.0,0.0,0,3,2,1,4,2,1,0
2,35.5,0,0.0,29,3296.65,0.009677419,0.021935484,18.25059634,0.0,1,4,2,9,8,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,2,13,9,20,2,0,0
7,114.2,0,0.0,26,360.1816667,0.0,0.008800253,0.0,0.0,7,1,1,1,2,2,0,0
0,0.0,2,74.0,6,83.5,0.0,0.058333333,0.0,0.4,6,2,2,1,2,2,0,0
2,74.0,0,0.0,30,1708.083333,0.006666667,0.013333333,16.1892,0.0,6,2,2,7,1,2,1,1
4,93.5,0,0.0,293,12268.24477,0.002837838,0.01542982,2.164809711,0.0,7,2,2,1,2,2,0,1
8,117.5,0,0.0,17,545.5,0.0,0.019047619,0.0,0.0,6,2,2,1,13,2,0,0
0,0.0,0,0.0,16,644.2,0.004166667,0.031666667,0.0,0.0,2,3,2,3,4,2,0,0
7,105.75,0,0.0,124,3394.130159,0.001587302,0.012918871,5.921482086,0.0,6,2,2,3,11,2,1,0
0,0.0,0,0.0,32,1324.666667,0.056666667,0.09047619,10.3976,1.0,6,2,2,7,1,2,1,0
0,0.0,0,0.0,38,3287.0,0.036842105,0.075814536,0.0,0.0,4,2,5,1,1,2,0,0
9,81.0,0,0.0,34,1219.113725,0.007017544,0.022556391,9.517421053,0.0,5,3,2,3,1,2,0,1
8,260.2083333,0,0.0,58,1436.690476,0.0,0.008231293,12.80819078,0.0,1,2,2,2,1,2,1,0
7,41.375,0,0.0,67,3014.290476,0.001917808,0.00781583,4.18760274,0.8,6,3,2,3,3,2,0,0
0,0.0,0,0.0,7,116.5,0.028571429,0.057142857,0.0,0.0,6,1,1,3,3,2,1,0
0,0.0,0,0.0,9,267.75,0.0,0.022222222,0.0,0.0,1,3,2,8,2,0,1,0
0,0.0,0,0.0,40,3675.5,0.0,0.016666667,0.0,0.0,7,2,2,8,10,2,0,0
0,0.0,0,0.0,3,75.0,0.0,0.066666667,0.0,0.0,5,2,5,1,3,2,1,0
2,152.2,0,0.0,28,494.88,0.0,0.013793103,0.0,0.0,9,1,8,7,1,0,0,0
9,146.0,0,0.0,49,1592.133333,0.003636364,0.02,3.490036364,0.0,6,2,2,3,4,2,1,0
0,0.0,0,0.0,62,2787.678571,0.003225806,0.015591398,57.48364657,0.0,7,4,2,1,1,2,1,0
4,54.8,0,0.0,3,20.25714286,0.0,0.028571429,0.0,0.0,0,1,1,3,2,2,0,0
14,515.9821429,0,0.0,170,7128.75377,0.003370787,0.016081238,4.470297685,0.0,7,2,2,7,1,2,1,1
5,173.5416667,5,109.75,38,1859.382937,0.004545455,0.009090909,0.0,0.0,1,3,2,8,10,2,1,0
9,174.2083333,2,383.75,151,9018.123741,0.012820513,0.02459296,0.0,0.0,7,1,2,1,1,2,1,0
0,0.0,0,0.0,4,98.25,0.0,0.025,0.0,0.0,7,2,4,3,10,2,0,0
0,0.0,0,0.0,33,889.72,0.012121212,0.044444444,0.0,0.0,7,2,2,3,1,2,0,0
0,0.0,1,113.0,27,3178.583333,0.025,0.04047619,0.0,0.0,6,2,2,1,3,2,0,0
8,1040.25,0,0.0,207,5160.451362,0.002296651,0.013407291,0.0,0.0,7,2,2,1,2,2,0,0
0,0.0,0,0.0,64,4492.311111,0.004761905,0.022705971,0.0,0.0,7,2,2,3,2,2,0,1
5,169.0,0,0.0,3,50.0,0.0,0.033333333,0.0,0.0,5,1,1,1,9,0,0,0
2,8.5,0,0.0,3,25.5,0.0,0.028571429,0.0,0.0,6,2,2,5,4,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,2,2,1,13,0,0,0
10,236.0795455,2,5.0,107,2589.881537,0.010601564,0.019627539,0.0,0.0,1,3,2,4,2,2,0,0
0,0.0,0,0.0,2,12.0,0.0,0.1,0.0,0.0,6,1,1,1,3,2,1,0
1,9.0,0,0.0,15,688.1833333,0.0,0.011904762,43.03066045,0.0,1,1,1,3,2,0,0,1
0,0.0,2,40.0,152,5617.092505,0.003594771,0.02743431,0.0,0.0,7,2,2,4,2,2,0,0
0,0.0,0,0.0,17,315.0,0.004166667,0.020625,0.0,0.2,6,2,2,3,4,2,0,0
2,127.0,0,0.0,19,1431.666667,0.0,0.01,0.0,0.2,6,2,2,4,2,2,0,0
0,0.0,0,0.0,53,661.4455285,0.000754717,0.006528045,0.0,0.0,7,3,2,1,11,2,1,0
5,188.0,0,0.0,25,1189.458333,0.0,0.006150794,36.89921429,0.6,6,2,10,1,4,2,0,1
2,341.6,0,0.0,7,177.9,0.047619048,0.062857143,0.0,0.0,0,3,2,1,1,2,0,0
2,36.2,3,52.0,4,48.0,0.057142857,0.057142857,0.0,0.0,3,1,1,1,4,2,1,0
0,0.0,0,0.0,30,1224.75,0.0,0.007142857,21.04864167,0.0,5,2,4,2,2,0,0,1
2,33.5,0,0.0,8,556.0,0.0,0.015151515,0.0,0.0,1,2,2,1,2,0,1,0
1,95.33333333,0,0.0,16,819.3333333,0.0,0.015625,25.25564195,0.0,1,2,2,7,2,0,0,1
3,26.0,0,0.0,85,768.5,0.0,0.005813953,0.0,0.0,6,2,5,4,4,2,0,0
0,0.0,0,0.0,13,227.7,0.027777778,0.038888889,0.0,0.4,6,1,1,3,2,2,0,0
0,0.0,4,122.5,330,11208.35506,0.008042825,0.022913324,0.0,0.0,7,2,2,1,2,2,0,1
0,0.0,0,0.0,2,5.0,0.0,0.1,0.0,0.0,5,2,2,1,2,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,1,1,2,0,0
13,266.047619,9,985.4833333,179,11492.20838,0.020689931,0.028728531,0.0,0.0,4,1,1,1,3,2,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,0,3,2,1,13,2,0,0
0,0.0,0,0.0,12,363.0,0.016666667,0.047222222,0.0,0.0,7,4,1,4,2,2,0,0
3,132.92,4,212.8,36,1335.773333,0.014285714,0.034484127,11.11383981,0.0,7,2,7,2,2,2,0,0
0,0.0,0,0.0,40,1411.833333,0.0,0.001282051,0.0,0.0,6,3,2,8,6,2,0,0
0,0.0,0,0.0,16,1062.666667,0.0,0.0125,54.56704868,0.0,9,4,1,1,4,0,0,1
13,293.5785714,3,26.0,161,3457.628812,0.006140351,0.018923933,15.988034,0.0,7,2,5,7,2,2,1,1
1,142.5,1,48.5,9,733.25,0.0,0.018181818,0.0,0.0,1,1,1,8,2,0,1,0
3,179.0,0,0.0,15,432.75,0.0,0.011111111,0.0,0.0,1,2,2,1,2,0,0,0
