DayOfWeek,DepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrDelay
2,1003,1110,1050,3250,67,70,54,23,324,6,7,0,0,13,0,0,0,7,20
6,1141,1329,1310,2912,108,115,96,26,570,4,8,0,0,3,0,0,0,16,19
2,2020,2133,2055,3757,73,70,45,35,281,17,11,0,0,35,0,3,0,0,38
2,1341,1529,1400,5572,108,99,96,80,329,4,8,0,0,0,0,89,0,0,89
5,1604,1900,1745,4896,176,125,86,24,544,7,83,0,0,0,0,75,0,0,75
3,1929,2259,2056,1655,210,161,123,74,861,3,84,0,0,0,48,49,0,26,123
7,1150,1300,1130,2895,190,195,169,95,1210,11,10,0,0,0,0,89,0,1,90
7,1812,1910,1805,1638,58,55,49,62,159,3,6,0,0,0,0,3,0,62,65
7,1838,2132,2041,236,114,111,74,48,589,10,30,0,0,48,0,3,0,0,51
2,1317,1508,1425,206,111,111,85,43,647,3,23,0,0,0,0,0,0,43,43
1,1648,2132,2040,1176,164,170,150,58,1210,3,11,0,0,35,0,0,0,17,52
6,719,947,917,4800,88,92,77,34,449,7,4,0,0,0,0,30,0,0,30
6,1116,1334,1134,1703,78,68,50,110,272,17,11,0,0,0,0,10,0,110,120
5,2123,2217,2115,1414,54,60,43,68,293,4,7,0,0,5,0,0,0,57,62
2,2128,2242,2215,993,74,60,61,13,251,3,10,0,0,5,0,14,0,8,27
7,1149,1501,949,4388,132,134,108,314,707,13,11,0,0,312,0,0,0,0,312
6,2134,2210,2125,3415,36,45,26,54,134,2,8,0,0,0,0,0,0,45,45
4,1823,2006,1934,4664,103,104,89,33,532,3,11,0,0,0,0,0,0,32,32
3,1501,1837,1755,85,396,360,337,6,2586,8,51,0,0,6,0,36,0,0,42
6,1034,1259,1219,331,265,264,249,39,1721,5,11,0,0,36,0,1,0,3,40
5,1807,1854,1645,1517,107,110,86,132,569,5,16,0,0,129,0,0,0,0,129
6,1715,1819,1742,1409,124,132,106,45,651,8,10,0,0,29,0,0,0,8,37
4,1228,1527,1450,378,119,125,93,43,733,4,22,0,0,17,20,0,0,0,37
6,2109,2239,1835,4828,90,105,66,259,418,5,19,0,0,11,0,0,0,233,244
2,919,1047,1015,2990,88,85,75,29,461,4,9,0,0,16,0,3,0,13,32
1,1524,1653,1630,3768,89,75,65,9,397,12,12,0,0,3,0,14,0,6,23
7,2034,2135,2115,44,61,65,49,24,304,4,8,0,0,7,0,0,0,13,20
2,1745,1953,1409,4206,128,114,92,330,317,17,19,0,0,330,0,14,0,0,344
2,1808,2022,2000,609,134,150,119,38,937,5,10,0,0,1,0,0,0,21,22
3,842,1443,1420,722,241,228,212,10,1739,6,23,0,0,10,0,13,0,0,23
7,1639,1928,1900,425,289,275,259,14,1721,5,25,0,0,6,0,14,0,8,28
5,2213,2324,2014,1172,71,81,52,200,337,4,15,0,0,7,0,0,0,183,190
2,1617,1906,1819,4644,109,109,92,47,674,10,7,0,0,0,47,0,0,0,47
6,1515,2017,1725,1246,242,155,154,85,1121,5,83,0,0,0,83,87,0,2,172
1,1529,1715,1620,801,106,95,85,44,460,9,12,0,0,0,0,11,0,44,55
5,1731,1843,1640,3106,72,70,44,121,236,5,23,0,0,118,0,2,0,3,123
7,2132,40,2359,458,188,179,169,32,1237,4,15,0,0,0,0,9,0,32,41
2,1642,1751,1540,1257,129,135,114,137,762,4,11,0,0,131,0,0,0,0,131
7,1214,1447,1304,455,153,154,130,104,954,5,18,0,0,103,0,0,0,0,103
5,1449,1732,1648,616,103,108,77,49,612,6,20,0,0,20,0,0,0,24,44
7,2004,2048,2000,3928,44,50,27,54,135,2,15,0,0,0,0,0,0,48,48
3,1758,1810,1624,841,72,77,50,111,302,2,20,0,0,0,0,0,0,106,106
5,1915,2048,2005,1731,93,105,75,55,460,9,9,0,0,0,0,0,0,43,43
4,1903,2052,2015,641,109,125,89,53,671,5,15,0,0,11,0,0,0,26,37
4,1007,1055,1030,3254,48,53,30,30,89,10,8,0,0,14,0,0,0,11,25
1,1354,1709,1653,5974,135,128,105,9,775,3,27,0,0,16,0,0,0,0,16
3,2015,2204,2147,1958,109,117,75,25,529,9,25,0,0,0,0,0,0,17,17
5,1750,1900,1745,2147,70,60,43,65,204,17,10,0,0,0,0,12,0,63,75
6,1716,1832,1655,3388,136,150,114,111,772,11,11,0,0,0,0,0,0,97,97
4,2123,147,2335,3660,144,155,130,143,1037,4,10,0,0,4,0,0,0,128,132
3,1833,2001,1818,473,148,136,118,91,622,7,23,0,0,0,0,103,0,0,103
3,1145,1350,1145,45,305,330,286,150,2486,3,16,0,0,0,0,0,0,125,125
3,1850,2003,1810,122,73,80,46,120,256,4,23,0,0,0,17,0,0,96,113
4,1510,1618,1435,1402,68,70,47,105,236,5,16,0,0,1,0,0,0,102,103
2,1934,2225,2142,527,171,162,130,34,761,8,33,0,0,0,0,9,0,34,43
6,1708,1741,1705,4484,93,111,74,54,483,3,16,0,0,29,7,0,0,0,36
4,2143,2340,2309,374,237,246,215,40,1515,4,18,0,0,0,0,0,0,31,31
2,1410,1508,1440,124,58,65,46,35,258,3,9,0,0,0,0,0,0,28,28
6,1831,2105,1752,334,154,85,136,124,334,6,12,0,0,0,0,69,0,124,193
5,1850,2036,2020,4074,106,105,77,15,522,2,27,0,0,15,0,1,0,0,16
2,19,136,2345,1315,77,90,52,124,228,7,18,0,0,42,0,0,0,69,111
5,1840,2017,1931,1404,97,81,70,30,270,16,11,0,0,0,0,16,0,30,46
2,1130,1332,1310,3856,122,120,105,20,626,10,7,0,0,0,0,2,0,20,22
4,927,1144,1110,2803,137,140,116,37,825,3,18,0,0,28,0,0,0,6,34
3,1540,1623,1550,2516,103,90,77,20,431,6,20,0,0,33,0,0,0,0,33
4,959,1121,1005,5574,82,81,74,75,262,3,5,0,0,0,0,76,0,0,76
4,1603,1658,1625,2736,55,40,34,18,96,7,14,0,0,18,0,15,0,0,33
4,1039,1152,1119,6053,133,117,89,17,639,4,40,0,0,17,0,16,0,0,33
6,1210,1339,1315,1668,89,90,68,25,444,7,14,0,0,3,0,0,0,21,24
6,1215,1654,1635,440,159,170,139,30,1189,10,10,0,0,19,0,0,0,0,19
7,2127,2301,2235,1680,94,105,81,37,670,5,8,0,0,26,0,0,0,0,26
5,2109,2249,2230,71,100,100,83,19,495,4,13,0,0,1,0,0,0,18,19
7,1804,1935,1905,2704,151,130,123,9,689,10,18,0,0,30,0,0,0,0,30
5,935,1013,845,4104,38,55,19,105,67,9,10,0,0,0,0,0,0,88,88
5,2209,2311,2255,3412,62,70,53,24,359,3,6,0,0,11,0,0,0,5,16
3,1903,1958,1943,5441,55,54,30,14,110,9,16,0,0,15,0,0,0,0,15
1,1009,1202,1128,851,173,148,122,9,733,6,45,0,0,0,0,25,0,9,34
3,1427,1545,1525,3594,78,80,64,22,405,3,11,0,0,17,0,0,0,3,20
7,1248,1429,1403,939,101,103,81,28,526,7,13,0,0,0,0,0,0,26,26
4,2209,11,2333,329,62,73,42,49,256,5,15,0,0,1,0,0,0,37,38
4,2225,17,2300,1575,232,220,201,65,1464,4,27,0,0,57,0,12,0,8,77
5,1231,1453,1435,414,82,85,71,21,487,3,8,0,0,1,0,0,0,17,18
3,1641,1933,1904,696,172,149,118,6,866,8,46,0,0,6,0,23,0,0,29
4,1254,1427,1335,39,93,85,72,44,405,6,15,0,0,9,0,8,0,35,52
3,1644,2036,1732,62,232,172,155,124,1069,11,66,0,0,0,0,163,0,21,184
4,1426,1712,1618,884,106,123,87,71,678,5,14,0,0,0,0,0,0,54,54
4,2127,2325,2230,377,178,175,161,52,1044,7,10,0,0,18,0,3,0,34,55
2,1105,1538,1523,618,153,148,117,10,977,6,30,0,0,10,0,5,0,0,15
7,1451,1951,1748,1120,180,213,165,156,1557,4,11,0,0,12,0,0,0,111,123
2,1220,1319,1150,11,59,60,46,90,276,2,11,0,0,3,0,0,0,86,89
2,713,852,805,3907,99,65,53,13,196,24,22,0,0,0,13,34,0,0,47
1,1248,1444,1340,1020,116,125,92,73,631,4,20,0,0,0,0,0,0,64,64
4,2114,2327,2310,3397,133,135,120,19,829,2,11,0,0,0,0,0,0,17,17
5,1509,1623,1550,2639,74,75,60,34,342,8,6,0,0,9,0,0,0,24,33
5,2116,2309,2220,4832,113,120,79,56,501,11,23,0,0,25,0,0,0,24,49
4,2021,2251,2235,3075,150,160,138,26,1034,4,8,0,0,13,0,0,0,3,16
5,658,822,805,1488,144,135,119,8,793,7,18,0,0,8,0,9,0,0,17
5,1210,1358,1340,1429,108,125,95,35,597,7,6,0,0,0,0,0,0,18,18
3,1801,1849,1830,3717,48,45,27,16,158,2,19,0,0,16,0,3,0,0,19
1,1312,1500,1400,4006,48,50,32,62,137,3,13,0,0,0,1,0,0,59,60
7,2047,2349,2152,1242,122,130,103,125,849,5,14,0,0,0,0,0,0,117,117
5,807,1033,1018,820,146,148,123,17,944,5,18,0,0,15,0,0,0,0,15
7,1304,1458,1433,1490,114,103,72,14,533,8,34,0,0,12,0,11,0,2,25
7,856,1101,1030,653,125,110,95,16,631,19,11,0,0,16,0,15,0,0,31
6,1415,1513,1455,3783,58,60,37,20,228,2,19,0,0,0,0,0,0,18,18
7,1443,1818,1701,5840,155,137,112,59,861,5,38,0,0,0,0,0,0,77,77
5,1654,2011,1953,412,137,135,123,16,862,6,8,0,0,0,0,9,0,9,18
7,809,1006,949,1591,177,173,161,13,1005,5,11,0,0,0,0,17,0,0,17
5,1616,1748,1714,1256,92,104,74,46,508,7,11,0,0,2,0,0,0,32,34
5,1404,1522,1410,808,78,85,58,79,337,4,16,0,0,0,0,72,0,0,72
2,1052,1158,1030,2229,66,65,49,87,237,5,12,0,0,87,0,1,0,0,88
5,1407,1525,1505,284,78,80,61,22,373,7,10,0,0,0,0,20,0,0,20
4,741,805,745,3661,84,75,62,11,347,7,15,0,0,2,0,9,0,9,20
1,1228,1403,1334,6406,95,94,75,28,451,3,17,0,0,29,0,0,0,0,29
5,1506,1628,1435,1025,142,140,113,111,719,7,22,0,0,0,0,113,0,0,113
6,1421,1443,1215,1132,82,85,70,151,460,3,9,0,0,22,0,0,0,126,148
3,1639,1751,1730,253,72,60,50,9,197,6,16,0,0,4,0,12,0,5,21
1,802,1033,1010,131,211,200,175,12,1156,27,9,0,0,0,0,11,0,12,23
6,1847,2148,1945,1007,301,305,274,127,1972,7,20,0,0,6,0,0,0,117,123
1,1756,2021,1835,824,145,155,119,116,944,9,17,0,0,7,0,0,0,99,106
1,948,1235,1210,4018,107,95,66,13,528,6,35,0,0,0,13,12,0,0,25
7,1919,2055,1942,6052,96,98,72,75,466,10,14,0,0,0,0,0,0,73,73
7,1357,1514,1450,14,77,80,57,27,386,2,18,0,0,13,0,0,0,11,24
4,1805,2127,2100,7,382,380,330,25,2401,12,40,0,0,0,0,2,0,25,27
7,744,1013,955,3604,209,205,188,14,1232,9,12,0,0,14,0,4,0,0,18
2,757,906,837,5590,69,62,35,22,158,4,30,0,0,29,0,0,0,0,29
1,1141,1242,1220,494,61,65,52,26,296,4,5,0,0,1,0,0,0,21,22
6,1755,2008,1609,4266,133,100,87,206,432,35,11,0,0,0,206,33,0,0,239
7,2,717,650,441,255,243,224,15,1772,6,25,0,0,0,0,12,0,15,27
1,1733,1827,1810,2208,54,55,38,18,197,6,10,0,0,0,0,0,0,17,17
2,1909,2256,2230,21,407,390,333,9,2475,33,41,0,0,9,0,17,0,0,26
6,2048,2107,2010,471,79,85,68,63,460,3,8,0,0,2,0,0,0,55,57
1,1330,1639,1551,577,189,171,144,30,989,7,38,0,0,30,0,18,0,0,48
1,1548,1745,1653,418,117,122,102,57,735,4,11,0,0,39,0,0,0,13,52
2,1616,2102,2015,1230,166,155,136,36,1069,5,25,0,0,0,0,22,0,25,47
6,2117,2259,2235,2838,162,155,151,17,880,4,7,0,0,5,0,7,0,12,24
6,852,1227,1115,598,155,160,130,77,967,6,19,0,0,72,0,0,0,0,72
4,1756,2038,2000,1136,162,145,131,21,920,13,18,0,0,10,0,17,0,11,38
7,1721,2035,1846,318,134,146,116,121,967,7,11,0,0,0,0,0,0,109,109
5,1421,1537,1515,1462,76,75,60,21,419,3,13,0,0,6,0,1,0,15,22
5,1900,2007,1930,1140,67,60,44,30,256,5,18,0,0,4,0,7,0,26,37
3,2103,17,2226,798,134,106,72,83,528,4,58,0,0,83,0,28,0,0,111
6,1959,2108,1925,1877,249,255,237,109,1788,5,7,0,0,0,0,0,0,103,103
3,1356,1511,1450,2461,75,80,61,26,370,8,6,0,0,2,0,0,0,19,21
5,2018,2319,2229,1672,181,173,136,42,1076,18,27,0,0,3,0,10,0,37,50
1,2031,2136,2005,427,185,200,167,106,1242,8,10,0,0,3,0,0,0,88,91
4,634,758,730,1329,84,85,64,29,446,2,18,0,0,28,0,0,0,0,28
4,818,954,925,564,96,95,76,28,546,5,15,0,0,28,0,1,0,0,29
5,2202,2310,2250,586,68,60,46,12,256,4,18,0,0,2,0,8,0,10,20
2,1933,2152,2050,637,139,160,119,83,861,6,14,0,0,0,0,0,0,62,62
3,1403,1542,1510,6026,99,106,81,39,557,7,11,0,0,0,0,32,0,0,32
2,2019,2104,2010,4458,105,75,41,24,235,6,58,0,0,0,0,33,0,21,54
3,1411,1531,1425,30,80,55,60,41,239,3,17,0,0,0,0,44,0,22,66
4,1758,2110,2021,690,132,136,95,53,733,6,31,0,0,49,0,0,0,0,49
5,1858,2024,2003,6052,86,97,71,32,466,7,8,0,0,0,0,0,0,21,21
7,1911,2022,1845,2527,71,75,63,101,410,2,6,0,0,0,0,0,0,97,97
2,2028,2140,2110,2277,132,145,121,43,869,3,8,0,0,8,0,0,0,22,30
4,1739,1952,1718,571,133,88,61,109,391,3,69,0,0,0,53,45,0,56,154
3,1514,1742,1658,1591,148,143,124,39,728,6,18,0,0,25,0,5,0,14,44
4,2125,2253,2210,197,88,85,74,40,446,3,11,0,0,40,0,3,0,0,43
2,1201,1440,1350,2328,99,105,76,56,612,8,15,0,0,0,0,7,0,43,50
4,1643,2002,1752,1638,139,131,114,122,804,10,15,0,0,0,0,8,0,122,130
3,1859,2033,2000,322,94,95,73,34,597,4,17,0,0,33,0,0,0,0,33
3,1501,1620,1446,6423,79,77,58,92,363,8,13,0,0,0,0,78,0,16,94
6,1130,1255,1235,1606,85,80,56,15,365,3,26,0,0,0,0,5,0,15,20
7,1500,1745,1545,779,285,280,258,115,1754,8,19,0,0,0,0,5,0,115,120
6,1331,1522,1410,3905,111,101,88,62,410,5,18,0,0,0,0,0,0,72,72
6,1314,1600,1530,72,106,120,93,44,816,5,8,0,0,1,0,0,0,29,30
5,2148,2252,2235,405,64,65,39,18,236,7,18,0,0,0,0,0,2,15,17
7,1426,1541,1319,6649,135,140,125,147,760,5,5,0,0,142,0,0,0,0,142
4,1714,2125,1955,96,191,205,169,104,1449,10,12,0,0,90,0,0,0,0,90
4,1917,40,2310,804,203,190,163,77,1440,30,10,0,0,0,0,66,0,24,90
1,1509,1525,1254,4694,76,64,33,139,214,10,33,0,0,139,0,12,0,0,151
6,1904,2120,2045,1805,256,265,238,44,1733,9,9,0,0,0,0,0,0,35,35
6,1440,1525,1510,5462,45,48,32,18,110,4,9,0,0,15,0,0,0,0,15
3,1113,1239,1220,2524,86,75,56,8,395,6,24,0,0,1,0,11,0,7,19
3,1211,1710,1650,1188,179,180,152,21,1205,15,12,0,0,0,0,0,0,20,20
1,1706,2031,1950,153,205,180,164,16,944,6,35,0,0,0,0,25,0,16,41
5,1811,2049,2030,790,98,105,79,26,616,8,11,0,0,8,0,0,0,11,19
4,1544,1820,1730,2397,276,270,256,44,1725,4,16,0,0,0,0,32,0,18,50
4,1544,1914,1840,2110,150,145,129,29,1045,5,16,0,0,29,0,5,0,0,34
1,2237,26,2340,1509,229,225,212,42,1515,7,10,0,0,0,0,46,0,0,46
1,1444,1751,1717,228,127,140,111,47,910,6,10,0,0,0,0,19,0,15,34
1,1554,1727,1710,121,93,100,79,24,543,4,10,0,0,0,0,0,0,17,17
4,828,928,905,1741,60,60,45,23,303,3,12,0,0,22,0,0,0,1,23
5,2335,325,2222,1514,170,187,144,320,1182,2,24,0,0,106,0,0,0,197,303
7,1513,1602,1540,3957,49,50,28,23,109,3,18,0,0,10,0,0,0,12,22
2,1101,1054,739,203,53,58,37,200,137,5,11,0,0,0,0,195,0,0,195
4,6,209,23,822,123,128,91,111,728,8,24,0,0,0,0,0,0,106,106
7,2056,2231,2145,4384,95,100,72,51,527,5,18,0,0,0,0,46,0,0,46
3,1258,1334,1153,4641,96,102,75,107,500,2,19,0,0,101,0,0,0,0,101
5,1151,1255,1200,1936,184,200,162,71,1235,6,16,0,0,42,0,0,0,13,55
6,1155,1859,1815,607,244,260,232,60,1848,7,5,0,0,44,0,0,0,0,44
7,2154,2359,2123,6088,65,67,40,158,240,4,21,0,0,156,0,0,0,0,156
1,1128,1318,1215,1127,170,170,148,63,919,7,15,0,0,0,29,0,0,34,63
4,2307,10,2310,276,63,75,50,72,308,4,9,0,0,57,0,0,0,3,60
4,1447,1731,1705,539,104,105,80,27,577,10,14,0,0,23,0,0,0,3,26
4,1104,1413,1335,584,189,170,148,19,1098,4,37,0,0,19,0,19,0,0,38
1,1013,1114,1040,1752,61,70,45,43,247,2,14,0,0,0,0,0,0,34,34
5,1551,2033,1804,1075,282,209,193,76,1185,4,85,0,0,3,17,73,0,56,149
3,1949,2352,2322,4007,183,162,136,9,1086,4,43,0,0,0,0,0,30,0,30
4,1707,1739,1722,429,92,97,67,22,412,8,17,0,0,6,0,0,0,11,17
6,842,928,750,1413,166,165,148,97,1055,6,12,0,0,97,0,1,0,0,98
4,2129,2301,2235,989,92,85,74,19,479,6,12,0,0,0,0,7,0,19,26
2,1310,1447,1420,1349,157,160,142,30,997,4,11,0,0,26,0,0,0,1,27
2,1902,2016,1905,1188,74,75,53,72,326,5,16,0,0,0,0,71,0,0,71
4,1808,2011,1943,413,123,110,97,15,605,7,19,0,0,2,0,13,0,13,28
2,1946,2203,1813,451,197,147,120,180,647,6,71,0,0,0,0,112,0,118,230
1,1412,1546,1520,3568,94,80,81,12,345,6,7,0,0,0,0,14,12,0,26
5,1928,1933,1915,1818,65,70,55,23,284,2,8,0,0,6,0,0,0,12,18
3,44,132,2241,3895,108,131,89,194,669,6,13,0,0,0,0,0,0,171,171
2,1921,2222,2150,578,181,160,142,11,989,7,32,0,0,0,0,21,0,11,32
3,2118,2252,2100,2164,94,110,76,128,601,6,12,0,0,0,0,0,0,112,112
4,848,950,935,3442,62,70,45,23,281,5,12,0,0,15,0,0,0,0,15
5,710,945,913,1265,155,148,133,25,861,8,14,0,0,25,0,7,0,0,32
1,1212,1357,1201,4890,105,116,88,127,640,2,15,0,0,116,0,0,0,0,116
4,1415,1805,1705,923,170,125,125,15,806,29,16,0,0,0,0,45,0,15,60
3,1700,1818,1740,5455,78,79,66,39,262,2,10,0,0,38,0,0,0,0,38
1,1800,1935,1700,2873,155,155,106,155,725,4,45,0,0,0,0,155,0,0,155
6,1011,1254,1210,395,223,190,196,11,1121,15,12,0,0,11,0,33,0,0,44
4,1608,1813,1735,3069,65,75,54,48,402,3,8,0,0,38,0,0,0,0,38
6,1642,1753,1735,64,71,75,57,22,359,6,8,0,0,0,0,0,0,18,18
3,1733,1821,1742,1409,108,132,95,63,651,2,11,0,0,0,0,0,0,39,39
7,1050,1138,1105,729,108,104,84,29,473,7,17,0,0,29,0,4,0,0,33
2,1705,2005,1916,4554,120,136,102,65,821,7,11,0,0,0,0,0,0,49,49
1,929,1143,1023,1687,134,108,75,54,507,4,55,0,0,0,54,26,0,0,80
1,1530,1705,1530,4655,95,95,72,95,426,5,18,0,0,95,0,0,0,0,95
4,1845,2248,2210,120,183,180,163,35,1182,8,12,0,0,7,0,3,0,28,38
4,2210,2304,2205,337,54,85,41,90,238,4,9,0,0,0,0,0,0,59,59
1,1744,1827,1730,4075,43,50,28,64,130,5,10,0,0,57,0,0,0,0,57
3,1909,2132,2105,3343,143,125,124,9,697,6,13,0,0,0,0,18,0,9,27
3,1910,1946,1859,5492,36,39,29,50,77,3,4,0,0,0,0,47,0,0,47
6,1557,1709,1630,2374,72,80,55,47,391,7,10,0,0,12,0,0,0,27,39
4,1237,1256,1240,1663,79,70,62,7,347,7,10,0,0,0,0,9,0,7,16
2,1958,2113,2045,267,75,70,56,23,314,10,9,0,0,0,0,5,0,23,28
4,2111,2256,2239,6665,165,159,144,11,997,5,16,0,0,0,0,6,0,11,17
3,1915,2129,2025,4435,74,90,61,80,380,6,7,0,0,0,64,0,0,0,64
6,1757,2015,1929,1696,138,154,118,62,837,7,13,0,0,1,0,0,0,45,46
6,832,823,806,5936,51,61,36,27,179,4,11,0,0,17,0,0,0,0,17
3,1645,1755,1725,4320,70,78,50,38,303,5,15,0,0,30,0,0,0,0,30
7,1947,2032,2003,3737,45,58,34,42,175,4,7,0,0,0,0,0,0,29,29
2,2007,2057,2038,3347,50,63,34,32,140,1,15,0,0,19,0,0,0,0,19
5,1718,1827,1805,496,69,80,60,33,417,2,7,0,0,1,0,0,0,21,22
1,1609,1734,1717,2178,85,77,52,9,214,6,27,0,0,2,0,8,0,7,17
3,1852,2058,2035,29,126,130,109,27,810,4,13,0,0,0,0,0,0,23,23
5,1749,2037,2015,1628,108,115,84,29,629,6,18,0,0,0,0,0,0,22,22
2,1530,1655,1552,407,145,123,115,41,651,5,25,0,0,0,0,63,0,0,63
2,2249,27,2240,3397,98,100,78,109,603,4,16,0,0,0,11,0,0,96,107
6,1508,1620,1510,3406,72,70,58,68,282,6,8,0,0,7,0,2,0,61,70
5,1602,2014,1900,736,192,210,172,92,1389,5,15,0,0,0,0,74,0,0,74
2,851,1116,1100,4785,145,145,122,16,780,5,18,0,0,16,0,0,0,0,16
5,921,1301,1220,1430,160,135,120,16,929,2,38,0,0,16,0,25,0,0,41
1,1457,1656,1530,4116,119,105,81,72,491,4,34,0,0,72,0,14,0,0,86
4,1422,1746,1720,948,144,139,131,21,853,5,8,0,0,6,0,5,0,15,26
7,2126,2245,2210,2004,79,70,57,26,319,3,19,0,0,24,0,9,0,2,35
1,2053,2333,2247,619,160,172,127,58,829,5,28,0,0,25,0,0,0,21,46
3,1116,1226,650,3746,70,70,54,336,304,8,8,0,0,336,0,0,0,0,336
5,22,811,700,262,289,280,258,62,2342,3,28,0,0,17,0,9,0,45,71
